SL_NO,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,PROXIMITY,LIGHT,TIME,CONTEXT
1,0.30406362,0.045489833,9.787796,6.872234E-4,-1.5271631E-4,-1.5271631E-4,219.65999,-99.96,-529.5,0,0,23:50:59.677299,unlabelled
2,0.2777274,0.05267244,9.787796,6.872234E-4,-1.5271631E-4,-1.5271631E-4,219.84,-99.96,-529.14,0,21.0,23:51:00.030720,unlabelled
3,0.2873042,0.05746084,9.797373,7.6358156E-5,-1.5271631E-4,4.5814895E-4,219.54,-100.259995,-528.83997,0,19.0,23:51:00.385323,unlabelled
4,0.2825158,0.01436521,9.775825,7.6358156E-5,-1.5271631E-4,-1.5271631E-4,219.65999,-100.079994,-528.36,0,19.0,23:51:00.614180,unlabelled
5,0.29927522,0.045489833,9.787796,7.6358156E-5,-7.6358154E-4,4.5814895E-4,219.72,-99.72,-528.77997,0,17.0,23:51:00.961014,unlabelled
6,0.2825158,0.05267244,9.775825,-5.345071E-4,-1.5271631E-4,-1.5271631E-4,219.0,-99.299995,-529.86,0,17.0,23:51:01.241216,unlabelled
7,0.2777274,0.038307227,9.79019,-5.345071E-4,4.5814895E-4,4.5814895E-4,219.12,-99.479996,-529.86,0,17.0,23:51:01.569966,unlabelled
8,0.2801216,0.05746084,9.79019,6.872234E-4,-1.5271631E-4,-1.5271631E-4,220.01999,-98.759995,-530.58,0,19.0,23:51:01.862324,unlabelled
9,0.272939,0.04070143,9.79019,6.872234E-4,-1.5271631E-4,-1.5271631E-4,220.5,-99.18,-530.22,0,21.0,23:51:02.100632,unlabelled
10,0.29209262,0.021547815,9.783008,0.0012980887,4.5814895E-4,-7.6358154E-4,220.5,-99.06,-530.22,0,21.0,23:51:02.368703,unlabelled
11,0.31364042,0.05746084,9.747094,-0.0017562376,0.0047342055,-7.6358154E-4,219.54,-99.9,-529.62,0,19.0,23:51:02.716599,unlabelled
12,0.11492168,0.074220255,10.259454,0.03428481,0.18005253,-0.0038179078,219.29999,-100.14,-529.92,0,17.0,23:51:02.988639,unlabelled
13,-0.19632454,0.14844051,9.8955345,0.009850202,0.4512767,0.010231993,220.26,-99.96,-529.26,0,17.0,23:51:03.294564,unlabelled
14,-0.25857377,0.15801731,9.711182,7.6358156E-5,0.020616703,-0.001985312,221.15999,-99.72,-529.01996,0,17.0,23:51:03.628875,unlabelled
15,-0.2777274,0.17238252,9.773431,6.872234E-4,0.0047342055,-7.6358154E-4,221.15999,-99.18,-528.83997,0,17.0,23:51:03.899414,INDOOR
16,-0.31364042,0.16759412,9.83568,0.0019089539,0.007788532,4.5814895E-4,221.81999,-99.479996,-529.5,0,19.0,23:51:04.182844,INDOOR
17,-0.30166942,0.17717093,9.747094,-0.0017562376,-0.006872234,-1.5271631E-4,222.29999,-99.36,-529.56,0,17.0,23:51:04.547405,INDOOR
18,-0.37828386,0.16519992,9.747094,0.0019089539,0.04260785,-0.001985312,222.65999,-99.9,-528.95996,0,17.0,23:51:04.795761,INDOOR
19,-0.34955344,0.16998832,9.773431,-5.345071E-4,0.0010690142,-1.5271631E-4,222.78,-99.9,-529.26,0,16.0,23:51:05.026277,INDOOR
20,-0.33039984,0.41180268,9.778219,0.015958855,0.04444045,-0.0013744468,223.08,-99.72,-529.56,0,16.0,23:51:05.247696,OUTDOOR
21,-0.44771573,0.23463176,8.26269,-0.053679783,0.15439619,-0.004428773,222.95999,-99.9,-529.5,0,17.0,23:51:05.597559,OUTDOOR
22,-0.51954174,0.15801731,9.711182,-0.054901514,-0.10644327,0.0010690142,222.84,-100.2,-529.2,0,18.0,23:51:05.857342,OUTDOOR
23,0.25617957,0.009576807,9.830892,-0.00786489,0.0010690142,-0.001985312,222.84,-100.619995,-528.36,0,16.0,23:51:06.133855,OUTDOOR
24,0.18914193,0.045489833,9.929053,0.007406741,-0.019089539,4.5814895E-4,223.31999,-100.2,-528.3,0,17.0,23:51:06.460296,OUTDOOR
25,0.23223756,0.050278235,9.766248,-0.0011453723,-0.0025961774,-7.6358154E-4,221.58,-99.96,-528.6,0,20.0,23:51:06.720896,OUTDOOR
26,1.271321,0.055066638,9.019258,0.02023491,0.048716504,-0.0056505036,219.59999,-99.54,-529.14,0,20.0,23:51:07.092502,OUTDOOR
27,-0.32561144,0.20590134,10.113407,0.010461068,0.045662176,0.005955936,220.5,-99.479996,-530.45996,0,19.0,23:51:07.276835,OUTDOOR
28,-0.35673606,0.21547815,9.708787,0.0055741454,0.012064588,0.0016798794,221.15999,-99.479996,-530.27997,0,17.0,23:51:07.576969,OUTDOOR
29,-0.3878607,0.22984336,9.713575,-0.0035888334,-0.012370021,-0.001985312,222.59999,-99.9,-530.22,0,18.0,23:51:07.840999,OUTDOOR
30,-0.33997664,0.21787235,9.67048,0.0055741454,0.0071776668,0.0016798794,222.48,-99.479996,-529.5,0,18.0,23:51:08.129453,OUTDOOR
31,-0.33039984,0.22984336,9.842862,0.0067958757,-0.00870483,-7.6358154E-4,222.65999,-99.78,-529.92,0,17.0,23:51:08.496452,OUTDOOR
32,-0.41180268,0.29209262,9.974544,0.015958855,-0.02275473,0.010842858,223.08,-99.24,-530.22,0,17.0,23:51:08.818405,OUTDOOR
33,-0.3878607,0.4213795,9.881169,0.008017606,-0.044745877,-0.001985312,222.95999,-99.78,-530.39996,0,18.0,23:51:09.027824,OUTDOOR
34,-0.36391866,0.2777274,9.780613,0.0012980887,0.009010263,4.5814895E-4,223.08,-99.84,-530.58,0,18.0,23:51:09.397960,OUTDOOR
35,-0.38307226,0.30166942,9.732729,-5.345071E-4,-0.0050396384,-1.5271631E-4,223.26,-100.439995,-530.76,0,16.0,23:51:09.658162,OUTDOOR
36,-0.40701428,0.2873042,9.811738,-0.0182496,0.06582073,-0.0038179078,223.37999,-100.259995,-530.04,0,16.0,23:51:09.999574,OUTDOOR
