SL_NO,X,Y,Z
1,-0.09816227,0,0
2,-0.09816227,0.007182605,0
3,-0.09816227,0.007182605,9.869199
4,-0.11492168,0.007182605,9.869199
5,-0.11492168,0.011971008,9.869199
6,-0.11492168,0.011971008,9.854834
7,-0.11252748,0.011971008,9.854834
8,-0.11252748,0.007182605,9.854834
9,-0.11252748,0.007182605,9.869199
10,-0.110133275,0.007182605,9.869199
11,-0.110133275,0.0047884034,9.869199
12,-0.110133275,0.0047884034,9.866804
13,-0.09816227,0.0047884034,9.866804
14,-0.09816227,0.0047884034,9.866804
15,-0.09816227,0.0047884034,9.869199
16,-0.11971009,0.0047884034,9.869199
17,-0.11971009,0.01436521,9.869199
18,-0.11971009,0.01436521,9.857227
19,-0.11731588,0.01436521,9.857227
20,-0.11731588,-0.0023942017,9.857227
21,-0.11731588,-0.0023942017,9.86441
22,-0.11492168,-0.0023942017,9.86441
23,-0.11492168,0.011971008,9.86441
24,-0.11492168,0.011971008,9.869199
25,-0.12210429,0.011971008,9.869199
26,-0.12210429,0.0023942017,9.869199
27,-0.12210429,0.0023942017,9.869199
28,-0.11971009,0.0023942017,9.869199
29,-0.11971009,0.0023942017,9.869199
30,-0.11971009,0.0023942017,9.859622
31,-0.10295067,0.0023942017,9.859622
32,-0.10295067,0.007182605,9.859622
33,-0.10295067,0.007182605,9.857227
34,-0.11492168,0.007182605,9.857227
35,-0.11492168,-0.0023942017,9.857227
36,-0.11492168,-0.0023942017,9.8715925
37,-0.110133275,-0.0023942017,9.8715925
38,-0.110133275,-0.0023942017,9.8715925
39,-0.110133275,-0.0023942017,9.866804
40,-0.10055647,-0.0023942017,9.866804
41,-0.10055647,0.021547815,9.866804
42,-0.10055647,0.021547815,9.873987
43,-0.10295067,0.021547815,9.873987
44,-0.10295067,0.007182605,9.873987
45,-0.10295067,0.007182605,9.862016
46,-0.095768064,0.007182605,9.862016
47,-0.095768064,-0.0023942017,9.862016
48,-0.095768064,-0.0023942017,9.876381
49,-0.110133275,-0.0023942017,9.876381
50,-0.110133275,0.007182605,9.876381
51,-0.110133275,0.007182605,9.847651
52,-0.095768064,0.007182605,9.847651
53,-0.095768064,0.021547815,9.847651
54,-0.095768064,0.021547815,9.859622
55,-0.093373865,0.021547815,9.859622
56,-0.093373865,-0.0023942017,9.859622
57,-0.093373865,-0.0023942017,9.862016
58,-0.11731588,-0.0023942017,9.862016
59,-0.11731588,0.0047884034,9.862016
60,-0.11731588,0.0047884034,9.873987
61,-0.12210429,0.0047884034,9.873987
62,-0.12210429,-0.0023942017,9.873987
63,-0.12210429,-0.0023942017,9.869199
64,-0.090979666,-0.0023942017,9.869199
65,-0.090979666,-0.0047884034,9.869199
66,-0.090979666,-0.0047884034,9.869199
67,-0.10055647,-0.0047884034,9.869199
68,-0.10055647,0.016759412,9.869199
69,-0.10055647,0.016759412,9.86441
70,-0.10055647,0.016759412,9.86441
71,-0.10055647,0.0047884034,9.86441
72,-0.10055647,0.0047884034,9.876381
